Questions,A,B,C,D,Correct Option
All the following variables are used to describle gases except,Pressure,Volume,Moles,Density,D
In the van der Waals equation (P + n2a / v2) (v - nb) = nRT which of the following statement is not true?,n2a/v correct for intermolecular forces,nb correct for the volume occupied by gas molecules,at high densities the equation reduces to the ideal gas law,all of the above statements are correct,C
Methyl alcohol is not used as,asolvent,an anti freezing agent,a substitute for petrol,for denaturing of ethyl alcohol,C
The inhaled breath of diabetics patient contain acetone. A medical student wishes to test for diabetes by asking patient to bubble their breath through a reagent.,alkaline aquenous iodine,aqueous bromine,Fehling solution,aqueous NaOH,A
Oxygen (molecular weight = 32) diffuses at a rate of 10cm3/min under the same conditions of temperature and pressure how fast will hydrogen (molecular weight = 2) diffuse?,20cm3/min,40cm3/min,160cm3/min,2.5cm3/min,B
When aquious bromine is added to aqueous phenol a creamy white ppt is obtained. What does this reaction show?,phenol is unsaturated,2-bromophenol is insoluble in water,a hydroxy group makes the benzene ring more susceptible to electrophilic attack,acid-base reaction,C
As a substance moves from a solid to a liquid all of the following changes occur except:,molecules become more disordered,KE of the molecules decreases,intermolecular force become weaker,molecules have more frequently,B
Which statement is consistent with Hunds rule.,Electrons fill orbitals with parallel spins until all the orbitals of the same energy are half filled then they go into sub-shells with anti-parallel (opposite) spin.,The electrons in the same atom cannot have the same four quantum numbers,There is maximum of two electrons is an orbital.,None,A
The rectified spirit is,12% alcohol,90% alcohol,95% alcohol,100% alcohol,C
Benzene is a good solvent for,fats,resins,iodine,all of the above,D
Which of the following solids show anisotropy,Plastic,Glass,Rubber,None of the above,D
Which of the following element doesnot show allotropy,Carbon,Asenic,Nitrogen,Sulphur,C
Butyl chloride gives possible isomers.,2,3,4,5,C
Purines and pyrimidines are,Enzymes,Nitrodenous bases,Carbohydrates,Lipids,B
Metallic crystals are soluble in,Polar solvent,Non polar solvent,Fuse metal,None,C
All the transition elements show,Similar physical properties,Similar chemical properties,Both A and B,None,C
Paramagnetic behaviour of substance is measured by a balance called,Analytical balance,Guoys balance,Electrical balance,Single beam balance,B
In solids the temperature is the measure of,Average kinetic energy of molecules,Vibrational kinetic energy,Translational kinetic energy,None of the above,B
Which of the following properties prove that cathode rays are material in nature,They cast shadow,They possess momentum,They are negatively charged,All of the above,B
Fruit juices and fizzy drinks such as lemonade are often sold in aluminium cans. What is the most important reason aluminium is a suitable metal?,Aluminium can be recycled,Aluminium has very low density,Aluminium is the most abundant metal in the earth crust,Aluminium is resistant to corrosion by organic acids.,D
When an electron is moving with velocity of 2.188 x 106 ms-1 in the first orbit of Bohrs model of hydrogen. The de Broglie wavelength of electron is,0.33 nm,0.34 nm,0.35 nm,0.36 nm,A
On heating aldehydes with Fehlings solution we get a precipitate whose colour is,Pink,Black,Yellow,Brick red,D
When methl iodide and ethyl iodide are treated with sodium metal possible major products are obtained.,1,2,3,4,C
What is maximum number of electrons in an orbital with m (magnetic quantum number) = 3,6,4,3,2,D
Atomic number of Mn is 25 what is the electronic configuration in the ground state,1s2 2s2 2p6 3s2 3p6 3d7,1s2 2s2 2p6 3s2 3p6 4s2 4p5,1s2 2s2 2p6 3s2 3p5 3d10,1s2 2s2 2p6 3s2 3p6 4s23d5,D
Which of the following statement is correct,size of Cl atoms > Cl- ion,size of Na+ ion < Na atom,size of Na atom < Na+ ion,Cl- < Na+,B
Which of the following is mineral fibre,eflon,Asbestos,Saran,Acrylic,B
Which catalyst is used in contact process?,Fe203,V2O5,SO3,Ag2O,B
The hardest of the following solids is,Sodium,Diamond,Graphite,Magnesium,B
Which of the following elements has greater 1st ionization energy,B,C,N,O,C
Which of the solid does not contain covalent bond,Coppor,Ice,Diamond,Graphite,A
Which of the following molecule is polar,CCI4,CO2,BF3,None of the above,D
The balanced chemical equation for the reaction which occurs when Be is added to water is,Be+2H2O?Be (OH)2+H2,Be+H2O?Be (OH)2+H2,Be+H2O?[Be (OH)4]+2+H2,No reaction,D
Which of the following theories is superior to others,VSEPR,VBT,MOT,None of the above,C
Which of the following is not characteristics of reversible reaction,whole amount of reactant does not change into product,chemical equilibrium is established,a catalyst changes the direction of reaction,rate of forward reaction decreases as reaction proceeds,C
Which of the following points are important in connection with equilibrium constant.,Kc is constant at given temperature,Kc is unaffected by change in concentration of reactants or products,Kc indicates the extent of reaction but not about the rate of reaction.,All of the above,D
A solution has pH = 0 its H+ ion concentration is,1 * (10^-1)),1 * (10^(-14)),1 * (10^(-7)),1,D
Solubility of CaF2 is 2.0x10-4 gdm-3 then Ksp of CaF2 is,4.0 * (10^(-8)),3.2 * (10^(-11)),2.0 * (10^(-8)),4.0 * (10^(-12)),B
1 mole of electron has mass in microgram,1.008 * (10^(-3)),5.5 * (10^(-4)),1.84 * (10^(-4)),1.673 * (10^(-3)),B
The unit of molality is,moles (dm^(-3)),moles (kg^(-1)),gram (dm^(-3)),None,B
