Questions,A,B,C,D,Correct Option
There are initially 400 atoms in a radioactive sample. What would be the number of atoms after 3 half life?,400,200,50,25,C
Emission of an alpha particle from a radioactive element.,Increase its atomic number by 1 and decrases mass number by 2,Increases its atomic number by 2 and decrases mass number by 2,Decreases its atomic number by 1 and decrases mass number by 2,Decreases its atomic number by 2 and decrases mass number by 4,D
Muon has charge of?,(-1e),0.5*e,1e,none,C
Which can damage eye?,X rays,Gamma rays,Laser,All o these,D
Nuclear fission reaction taked place in controlled conditions by the,Moderators,Control rod,Protons,Heavy water,B
Fusion and fission reactions are associated with,Water or hydal energy,Geothermal energy,Fossil fuel energy,Nuclear energy,D
Let X be a radioactive element having No nuclei. The time required to decay this element to one half of its initial number No is known as:,Law of radioactive decay,Decay constant,Half life,Decay Time,C
If u and d represent up quark and down quark respectively then composition of Proton and Neutron can be written as:,"Proton: 1u + 1d, Neutron: 2u + 1d","Proton: 2u + 2d, Neutron: 2u + 1d","Proton: 2u + 1d, Neutron: 1u + 2d","Proton: 1/3u + 2/3d, Neutron: 2/3u + 1/3d",C
The half-life of Iodine is,8 days,8 hours,15 days,15 hours,A
Radioactive elements emit:,Alpha radiations,Beta rasiations,Gamma radiations,All of these,D
"If half-life of an element is 4 minutes, then 3/4 of it is decayed in",6 min,4 min,8 min,10 min,C
A material that does not become radioactive after absorbing neutrons is called,Shielding,Reactor fuel,Control material,Coolant,A
The half-life of C14 is about:,892 years,10 years,100 years,5730 years,D
Which of the following has greater speed in space?,Gamma rays,Light,Radio waves,All of these,D
A lithium nuclear contains 3 protons and 4 neutrons. What is its atomic number?,1,7,3,4,C
The chemical properties of elements depend on _______.,Atomic number only,Mass number only,Atomic number and mass both,Neither atomic number or mass number,A
The lightest element which exhibits radioactivity is:,Hydrogen,Deuteron,Tritium,Helium,C
Meson consists of:,One quark and one anti-quark,One quark and two anti-quark,Two quark and one anti-quark,Two quark and two anti-quark,A
Which of the following is the percentage of the original quantity of a radioactive material left after five half-lives approximately.,3%,10%,6.25%,20%,A
A factory buys 100kg of a radioactive chemical with a half-life of 5 years which decays to a stable compound. How much of the chemical will still be radioactive in 10 years time.,None,25 kg,50 kg,75 kg,B
Which of the following will be absorbed by the paper?,Alpha particle,Beta particle,Gamma rays,X rays,A
"Alpha, Beta and Gamma radiations are emitted from a radioactive substance:",When it is heated,When it is subjected to high pressure,When it interacts with another particle,Spontaneously,D
"The binding per nucleon of deuteron (21H_ and helium nucleus(42He) are 1.1 MeV and 7MeV respictively/ I ftwo deuterons merge to form a single helium nucleus, the energy released will be:",04.8 MeV,13.6 MeV,23.6 MeV,25.8 MeV,C
Beta particles are the particles emitted from the _____ of an atom.,Inner atomic shells,Outer atomic shells,Innermost atmoic shells,Nucleus,D
"During the process of nuclear disintegration, when beta particle mission occurs, atomic no of the atom changes by ______ and the mass number changes by ________.","One unit, one unit","One unit, no unit","No unit, one unit","No unit, no unit",B
Human body emits which of the following radiation?,X-rays,Ultraviolet,Infrared,Gamma rays,C
Which one of these is used in the treatment of cancer?,Helium,Xenon,Krypton,Cobalt,D
How many quarks neutron and proton is made up of?,1,2,3,4,C
What's relation between penetrating power and Ionization power?,Inverse,Direct,Depends on radioation,None,A
"In Nuclear reactions, we have the convseration of:",Mass only,Energy only,Momentum only,"Mass, energy and momentum",D
How may neutrons are released during fusion of two deutrons?,0,1,2,3,B
Nucleus with an excess of neutrons may decay radioactivity with the emission of:,a neutron,a proton,an electron,a positron,C
Which of the following is not true about radioactivity?,Is a nuclear phenomenon,Is not altered by any physical change,Is not altered by any chemical change,Is a property relating to outside the nucleus,D
Disintegration of a radioactive element is,Periodic,Dependent on its atomic number,Random,None of these,C
An element whose atomic number is same but mass number is different is called:,Isomer,Isobar,Isotope,Isotones,C
Sodium nucleus consists of 11 protons and 12 neutrons. The conventional symbol of this nucleus is?,11Na11,12Na12,11Na23,12Na23,C
Which of the following have low ionization and high penetrating power?,Alpha paeticles,Beta particles,Gamma particles,None of these,C
A body of mass of 2kg absorbed 10J of radioactive radiations. The absorbed dose of radiation in rad is:,5,5*10-2,500,20,C
Gamma rays are emitted from nuclei of radioactive atoms. They are nothing but:,X rays,High energy electromagnetic radiations,Electrons emitted from nuclei,Ultraviolet rays,B
"In Nuclear Physics, the mass defect is referred to ______.",The difference in masses of free neutrons and protons,The different in masses of free neutrons and bonded nucleus,The difference in masses of free nuclear constituent and bonded nucleus,Difference between atomic mass and atomic number,C
In which of the following the pn Junction is used?,Wilson cloud chambe,GM tube,solid state detector,None of these,C
"A nucleus weighs less than its sum of nucleons, a quantity known as the",Mass defect,Binding energy,Packing fraction,All of these,A
"Whe we measure the nuclear masses and compare them with the masses of the constituent nucleus in free states, the mass of the nucleus is always less than the mass of the constituent nucleons. The difference in mass is known as:",Mass Defect,Mass Value,Mass Disorder,Mass Energy,A
"While using radiation therapy, cancerous thyroid is treated with _____ radioisotope:",Carbon,235 Uranium,Thorium,Iodine,D
What is correct about alpha and x rays?,Both produce ionization,Both are deflected by Magnetic field,Both are deflected by Electric field,All of these,A
The process of natural decay of some heavy nuclides is because of the phenomenon:,Emission Spectra,Nuclear fusion,Nuclear fission,Radioactivity,D
______ is also known as anti-electron.,Photon,Proton,Positron,Nucleon,C
Which of the following is an instruement for monitoring radiations:,GM tube,Radar,Wilson cloud chamber,All of the above,A
"To remove the huge amount of heat energy in a nuclear reactor, ________is/are used.",Control rods,Shielding,Moderators,Coolants,D
"Half-life of iodine-131 is 8 days. If 20mg is present initially, how much iodine is left behind after 2 half-lives?",10 mg,5 mg,2.5 mg,1.25 mg,B
Radiation vause damage in:,Cell,Skin,Hair,All of above,D
"The detection and estimationof an element in a mixture is sometimes nearly impossible, if it is present in very minute traces or if it's checmical properties are very similar to those of other elements in the mixture. An effective technique is developed for these purposes is known as?",Simple Analysis,Spectral Analysis,Activation Analysis,Geometric Analysis,C
Which of the following is the pair if isobars?,1H1 and 2H1,12C6 and 13H6,2H1 and 3H1,30H15 and 30Si14,D
Which of the following has highest ionizing power and least penetrating power?,Alpha,Beta,Gamma,Both A and C,A
Energy of fast moving nuetron is?,1 KeV,0.5 KeV,0.02 KeV,0.01 KeV,A
Transmutation occurs when rays are given out:,Alpha,Beta,Gamma,All of these,D
Penetration power of gamma rays as compared to alpha rays is,Greater,Less,Equal,Either A or C,A
Charge on an up-quark is:,(2/3) e,(1/3) e,(-(2/3) e),(-(1/3) e),A
Which of the following radiation detector operates under Reverse Bias?,GM counter,Wilson Cloud Chamber,solid state detector,Both A and C,C
The half-life of a radioactive element depends upon:,Amount of element present,Pressure,Temperature,None of the above options are correct,D
Why is the total mass of all individual protons and nuetrons in a nucleus greater than the mass of the nucleus which they constitute?,"When protons and neutrons combine to form nucleus, mass decrease due to gain of energy",Possible mass loss is due to faulty techniques to measure mass of nucleus,This statement is not true in most of the cases,"When protons and neutrons combine to form nucleus, some mass is destroyed resulting in energy release",D
Which of the following consist of two quarks?,Leptons,Baryon,Meson,None of these,D
Alpha rays are nuclear radiations. They are in fact same as _______ nuclei.,Hydrogen,Deuterium,Tritium,Helium,D
In heavy nuclei the number of neutrons is than protons,Equal,Greater,Lesser,Either A or C,B
"The half-life of C14 is approximately 5730 years, while the half-life of C12 is essentially infinite. If the ratio of C14 to C12 in a certain sample is 25%, less than the normal ratio in nature, how old is the sample?",Less than 5730 years,Approximately 5730 years,"Significantly greater than 5730 years, but less than 11460 years",Approximately 11460 years,A
"Four energies are listed. 5KJ, 5mJ 5MJ, 5nJ. Starting with the smallest first, what is the order of increasing magnitude of these energies?",5nJ -> 5mJ -> 5KJ -> 5MJ,5nJ -> 5KJ -> 5MJ -> 5mJ,5KJ -> 5mJ -> 5MJ -> 5nJ,5mJ -> 5nJ -> 5KJ -> 5MJ,A
Which gas is not used in GM counter?,Argon,Neon,Hydrogen,Helium,C
Particles which can be added to the nucleus of an atom without changing its chemical properties are:,Neutrons,Electrons,Protons,Alpha particles,A
Which expression using SI based unita is equivalent to the volt,kg*(m^2)*(s^(-1))*(A^(-1)),kg*m*(s^(-2))*A,kg*(m^(-2))*(s^(-1))*A,kg*(m^2)*(s^(-3))*(A^(-1)),D
X rays having wavelength of 22pm are scattered from a carbon-14 target. The scattered radiations are being viewed at 55 degrees to incident beam. What is change in wavelength?,2.0 pm,1.0 pm,3.0 pm,3.5 pm,B
Ejection of electrons from metal surface due to heating effect is:,Thermionic emission,Photoelectric effect,Population inversion,Cathode expulsions,B
The difference between soft and hard X-rays is,Velocity,Intensity,Frequency,Polarization,C
The first excitation energy of H atom will be,10.2 eV,3.4 eV,(-136) eV,13.6 eV,A
Which of the following electromagnetic phenomenon wave nature is not enough to explain?,Photoelectric effect,Interference,Differaction,Polarization,A
Ultra violet light is more likely to cause a photoelectric effect than a visible light. This is because photons of ultraviolet light:,Have a longer wavelength,Have a higher velocity,Are not visible,Have a higher energy,D
"For gaining an atomic spectra, an evacuated glass tube is filled with",Neon,Hydrogen,Carbon dioxide,Suplher dioxide,B
